identifier	y
SS_BLDG_014	1500
SS_BLDG_024	1500
SS_BLDG_032	1500
SS_BLDG_035	1500
SS_BLDG_036	1500
SS_BLDG_037	1500
SS_BLDG_039	1500
SS_BLDG_040	1500
SS_BLDG_041	1500
SS_BLDG_048	1500
SS_BLDG_050	1500
SS_BLDG_054	1500
SS_BLDG_001	1697
SS_BLDG_008	1697
SS_BLDG_014	1697
SS_BLDG_016	1697
SS_BLDG_017	1697
SS_BLDG_019	1697
SS_BLDG_024	1697
SS_BLDG_026	1697
SS_BLDG_030	1697
SS_BLDG_032	1697
SS_BLDG_033	1697
SS_BLDG_034	1697
SS_BLDG_041	1697
SS_BLDG_047	1697
SS_BLDG_048	1697
SS_BLDG_049	1697
SS_BLDG_051	1697
SS_BLDG_052	1697
SS_BLDG_053	1697
SS_BLDG_054	1697
SS_BLDG_055	1697
SS_BLDG_056	1697
SS_BLDG_001	1717
SS_BLDG_008	1717
SS_BLDG_014	1717
SS_BLDG_016	1717
SS_BLDG_017	1717
SS_BLDG_019	1717
SS_BLDG_024	1717
SS_BLDG_026	1717
SS_BLDG_030	1717
SS_BLDG_032	1717
SS_BLDG_033	1717
SS_BLDG_034	1717
SS_BLDG_041	1717
SS_BLDG_047	1717
SS_BLDG_048	1717
SS_BLDG_049	1717
SS_BLDG_051	1717
SS_BLDG_052	1717
SS_BLDG_053	1717
SS_BLDG_054	1717
SS_BLDG_055	1717
SS_BLDG_056	1717
SS_BLDG_001	1789
SS_BLDG_008	1789
SS_BLDG_014	1789
SS_BLDG_016	1789
SS_BLDG_017	1789
SS_BLDG_018	1789
SS_BLDG_019	1789
SS_BLDG_020	1789
SS_BLDG_021	1789
SS_BLDG_022	1789
SS_BLDG_023	1789
SS_BLDG_024	1789
SS_BLDG_025	1789
SS_BLDG_026	1789
SS_BLDG_027	1789
SS_BLDG_028	1789
SS_BLDG_029	1789
SS_BLDG_045	1789
SS_BLDG_046	1789
SS_BLDG_049	1789
SS_BLDG_051bis	1789
SS_BLDG_052	1789
SS_BLDG_053	1789
SS_BLDG_056	1789
SS_BLDG_057	1789
SS_BLDG_001	1839
SS_BLDG_008	1839
SS_BLDG_014	1839
SS_BLDG_015	1839
SS_BLDG_016	1839
SS_BLDG_043	1839
SS_BLDG_001	1850
SS_BLDG_008	1850
SS_BLDG_009	1850
SS_BLDG_010	1850
SS_BLDG_011	1850
SS_BLDG_012	1850
SS_BLDG_013	1850
SS_BLDG_042	1850
SS_BLDG_001	1852
SS_BLDG_002	1852
SS_BLDG_003	1852
SS_BLDG_005	1852
SS_BLDG_006	1852
SS_BLDG_007	1852
SS_BLDG_001	1945
SS_BLDG_002	1945
SS_BLDG_003	1945
SS_BLDG_004	1945
SS_BLDG_005	1945
SS_BLDG_006	1945
SS_BLDG_007	1945
SS_BLDG_001	1982
SS_BLDG_002	1982
SS_BLDG_003	1982
SS_BLDG_001	2019
SS_BLDG_002	2019
SS_BLDG_003	2019
SS_IS_007	1500
SS_IS_007	1697
SS_IS_007	1717
SS_IS_007	1789
SS_IS_006	1839
SS_IS_005	1850
SS_IS_004	1852
SS_IS_003	1945
SS_IS_002	1982
SS_IS_001	2019
