identifier	2019	geometry
75c1bb5b-3189-4f89-b6b3-f8f775bb951b	1	0106000020110F0000010000000103000000010000002C000000863DB2BFE9FC34418B8387AF99B25541EF70899BE9FC3441370E22E599B2554109B69614F5FC3441D8AA3D689AB2554119F86F72FDFC34415689FED79AB2554172F0B9EA06FD3441847674709BB25541B5A3F11C07FD344160B736239BB2554196A95F0809FD3441DAE1723698B25541D2F7FF8F16FD3441C3B01DC698B255412652F1AE17FD34414E6E350F97B25541FA287C1115FD34412CC55EED96B25541FEE381D113FD3441B97FA22097B255418435733211FD34417372634297B255416539B49C09FD3441005B9BF096B25541E35E261009FD3441F89866C397B255417C3FC49F05FD344161F2E89E97B25541B9B0FF3F05FD34411A331F3298B25541A55F83A0FBFC34416E08ACCA97B2554122130EB2FBFC34418D15FAB397B255411171682EF7FC3441DFDE2A8397B255413E28CCE7F7FC3441B4E4E06F96B25541F2B71A98F7FC3441711A7B6C96B255416B2F79D7F7FC34411E21FB0D96B25541F9D19EFBF1FC34412E0E5FCF95B2554197A2E2D2F3FC34411277610D93B255417C200970FEFC344156D8247F93B25541FE73BCA5FEFC3441DD65D83293B25541CEDF5B46FAFC344133A43F0393B255410F2D0600FBFC3441B24920EE91B2554103E57B5FFFFC34413E54CF1C92B25541BEB23776FFFC3441C1EF47FA91B255411C621F4109FD34415555EA6392B255410B5586D808FD3441D848EE0293B2554151335C1D0CFD3441C279282693B255413B9B3F8C0BFD3441C709390094B2554110CE090513FD3441C01ADA5094B25541A63135EE13FD3441AEFA5C6C94B25541F0BA3F8D15FD3441F773AFA594B255416E75A0A916FD344196D682F794B25541104AF57817FD3441FF0F454D95B25541D56076C718FD34418371782593B25541574C655C19FD344191DB332E92B25541AB3F4812F0FC344141799F6990B255419575BFAAEBFC344174F9D2E196B25541863DB2BFE9FC34418B8387AF99B25541
b55351b9-9f7a-41b9-85d5-3790ca78efef	1	0106000020110F00000100000001030000000100000008000000DB6228F8B3FD344196D9EE045FB25541905BE264BFFD3441924D0BD55DB25541C6D2E9DFBCFD3441AB0F2BE75AB25541E8D96FEB78FD3441C64D91F851B255412770F0B46DFD34419B9CA02B53B25541620CA13070FD34415E4B5F4456B25541DB314FA277FD34411B8B4C3A57B25541DB6228F8B3FD344196D9EE045FB25541
be09e3b8-41ad-4c3b-ab73-4743cd6a80cd	1	0106000020110F0000010000000103000000010000000B000000DB6228F8B3FD344196D9EE045FB25541915D86C8B2FD34412875159A5FB2554137B3110FC1FD344194F6A44F61B255419ACFA93BC5FD3441DE2F9E505FB25541224AF80BCBFD3441380769885CB255411DF06A1DCFFD3441116DF3955AB2554141FE1892CFFD3441167E5B5D5AB25541B65566A1C1FD34414DB00D9858B25541C6D2E9DFBCFD3441AB0F2BE75AB25541905BE264BFFD3441924D0BD55DB25541DB6228F8B3FD344196D9EE045FB25541
09075a7f-dede-4f16-8c8f-5af03f43a907	1	0106000020110F00000100000001030000000100000005000000ADE0C0189EFD344141357F7632B2554105D1CA549BFD34414BAC013E34B255414DB1CE8BAAFD3441497915BB35B25541460C0444ADFD344178CFDCF933B25541ADE0C0189EFD344141357F7632B25541
SSE_BLDG_003	1	0106000020110F00000100000001030000000100000022000000F9D19EFBF1FC34412E0E5FCF95B255416B2F79D7F7FC34411E21FB0D96B25541F2B71A98F7FC3441711A7B6C96B255413E28CCE7F7FC3441B4E4E06F96B255418525CE67FCFC34418E6AA8A096B2554122130EB2FBFC34418D15FAB397B25541A55F83A0FBFC34416E08ACCA97B25541B9B0FF3F05FD34411A331F3298B255417C3FC49F05FD344161F2E89E97B25541E35E261009FD3441F89866C397B255416539B49C09FD3441005B9BF096B255418435733211FD34417372634297B25541FEE381D113FD3441B97FA22097B25541FA287C1115FD34412CC55EED96B255419788CA3E16FD3441F3289BBD96B25541BF37E82617FD34414238DD7196B25541A263CA8B17FD3441AC29DE2696B255413DE297AB17FD3441C1B5B5F695B25541E39986B317FD34410791BD8295B25541104AF57817FD3441FF0F454D95B255416E75A0A916FD344196D682F794B25541F0BA3F8D15FD3441F773AFA594B25541A63135EE13FD3441AEFA5C6C94B2554110CE090513FD3441C01ADA5094B255413B9B3F8C0BFD3441C709390094B2554151335C1D0CFD3441C279282693B255410B5586D808FD3441D848EE0293B255411C621F4109FD34415555EA6392B25541BEB23776FFFC3441C1EF47FA91B2554103E57B5FFFFC34413E54CF1C92B25541FE73BCA5FEFC3441DD65D83293B255417C200970FEFC344156D8247F93B2554197A2E2D2F3FC34411277610D93B25541F9D19EFBF1FC34412E0E5FCF95B25541
ce496cbb-eb03-469f-8724-63777324d83c	1	0106000020110F0000010000000103000000010000000500000075A769DEFAFD3441B5A471F84DB25541CAE0CB10F9FD34410E8593B34EB255411AF8AC3EFCFD34417C90E0324FB25541D02DE50FFEFD344197ECC3774EB2554175A769DEFAFD3441B5A471F84DB25541
1a190be0-557c-4ec6-9b38-535f41d92ca8	1	0106000020110F000001000000010300000001000000050000002E38872F6BFD34413C52AD0950B2554161652E8E6FFD3441A5C10EF64DB25541F7F06C156CFD344168A894864DB25541808067C267FD3441C979D0944FB255412E38872F6BFD34413C52AD0950B25541
db1c3386-06ae-4819-97f1-9c3ab314738b	1	0106000020110F000001000000010300000001000000050000009A772BC262FD3441E9E1FEEA83B25541CE0B80A470FD3441EE2F3A7D84B25541E46BE34971FD3441019A7A7783B255411228865C63FD3441FBEE11E682B255419A772BC262FD3441E9E1FEEA83B25541
8015d88b-e926-4186-8dac-f1e38c7cdf82	1	0106000020110F0000010000000103000000010000000C000000469E81A869FD3441C879E6CB70B255417B06A7656AFD3441AC86C7E970B25541DAF5B42175FD34416D6D899B72B255413511DAFF76FD3441CAF9A5E772B255411567C8A47DFD3441CB790A4D70B255416F5C1A167DFD3441D092F03570B255412C30FE3B7EFD34417B9DE4B36FB25541C6F2F1437AFD34416583307A6FB255413CB1B32A76FD3441D6DC957B6FB2554181F71F0972FD34418C0A8DA06FB255419B4BB48D6DFD34418E64B00F70B25541469E81A869FD3441C879E6CB70B25541
2e7c4569-b804-4bea-91d1-3a0780e62170	1	0106000020110F00000100000001030000000100000005000000BFBEB6AEC6FC3441DB764B258CB25541D59C24F4C9FC34415BE4F5438CB25541043231AACAFC3441EC7F374A8BB25541CB585B69C7FC344178184A248BB25541BFBEB6AEC6FC3441DB764B258CB25541
