BW_ID	WKT	IslandName	Date	Start	End	Name	Function	Start_Function	End_Function	Use	Start_Use	End_Use	Typology	Start_Typology	End_Typology	Height	Material	Architect	Patron	Owner	Start_Owner	End_Owner	Tenant	Start_Tenant	End_Tenant	SHP_Lenght	SHP_Area
SS_BLDG_001	MULTIPOLYGON (((1370165.88212385 5692874.70769408,1370170.75474383 5692884.5087468,1370180.738111 5692879.61365261,1370175.67921034 5692869.75574724,1370165.88212385 5692874.70769408),(1370168.41744304 5692875.58263396,1370174.81050505 5692872.36347141,1370178.03433759 5692878.72753828,1370171.69050862 5692881.92881527,1370168.41744304 5692875.58263396)))	San Secondo	1945	1570-01-01	2019-12-31	Polveriera	Public	1570-01-01	2019-12-31	Military	1570-01-01	1960-12-31	Powderhouse	1570-01-01	1960-12-31		Istrian marble		90	86	1866-10-21	2019-12-31				50.9750232192258	34.8314778282299
SS_BLDG_001	MULTIPOLYGON (((1370165.88212385 5692874.70769408,1370170.75474383 5692884.5087468,1370180.738111 5692879.61365261,1370175.67921034 5692869.75574724,1370165.88212385 5692874.70769408),(1370168.41744304 5692875.58263396,1370174.81050505 5692872.36347141,1370178.03433759 5692878.72753828,1370171.69050862 5692881.92881527,1370168.41744304 5692875.58263396)))	San Secondo	1789	1570-01-01	2019-12-31	Polveriera	Public	1570-01-01	2019-12-31	Military	1570-01-01	1960-12-31	Powderhouse	1570-01-01	1960-12-31		Istrian marble		90	88	1570-01-01	1797-05-11				50.9750232192258	34.8314778282299
SS_BLDG_001	MULTIPOLYGON (((1370165.88212385 5692874.70769408,1370170.75474383 5692884.5087468,1370180.738111 5692879.61365261,1370175.67921034 5692869.75574724,1370165.88212385 5692874.70769408),(1370168.41744304 5692875.58263396,1370174.81050505 5692872.36347141,1370178.03433759 5692878.72753828,1370171.69050862 5692881.92881527,1370168.41744304 5692875.58263396)))	San Secondo	1697	1570-01-01	2019-12-31	Polveriera	Public	1570-01-01	2019-12-31	Military	1570-01-01	1960-12-31	Powderhouse	1570-01-01	1960-12-31		Istrian marble		90	88	1570-01-01	1797-05-11	42	1534-01-01	1806-07-27	50.9750232192258	34.8314778282299
SS_BLDG_001	MULTIPOLYGON (((1370165.88212385 5692874.70769408,1370170.75474383 5692884.5087468,1370180.738111 5692879.61365261,1370175.67921034 5692869.75574724,1370165.88212385 5692874.70769408),(1370168.41744304 5692875.58263396,1370174.81050505 5692872.36347141,1370178.03433759 5692878.72753828,1370171.69050862 5692881.92881527,1370168.41744304 5692875.58263396)))	San Secondo	1982	1570-01-01	2019-12-31	Polveriera	Public	1570-01-01	2019-12-31	Abandoned	1961-01-01	2019-12-31	Ex powderhouse	1961-01-01	2019-12-31		Istrian marble		90	86	1866-10-21	2019-12-31				50.9750232192258	34.8314778282299
SS_BLDG_001	MULTIPOLYGON (((1370165.88212385 5692874.70769408,1370170.75474383 5692884.5087468,1370180.738111 5692879.61365261,1370175.67921034 5692869.75574724,1370165.88212385 5692874.70769408),(1370168.41744304 5692875.58263396,1370174.81050505 5692872.36347141,1370178.03433759 5692878.72753828,1370171.69050862 5692881.92881527,1370168.41744304 5692875.58263396)))	San Secondo	1850	1570-01-01	2019-12-31	Polveriera	Public	1570-01-01	2019-12-31	Military	1570-01-01	1960-12-31	Powderhouse	1570-01-01	1960-12-31		Istrian marble		90	Austrian Empire	1814-04-20	1866-10-20				50.9750232192258	34.8314778282299
SS_BLDG_001	MULTIPOLYGON (((1370165.88212385 5692874.70769408,1370170.75474383 5692884.5087468,1370180.738111 5692879.61365261,1370175.67921034 5692869.75574724,1370165.88212385 5692874.70769408),(1370168.41744304 5692875.58263396,1370174.81050505 5692872.36347141,1370178.03433759 5692878.72753828,1370171.69050862 5692881.92881527,1370168.41744304 5692875.58263396)))	San Secondo	1717	1570-01-01	2019-12-31	Polveriera	Public	1570-01-01	2019-12-31	Military	1570-01-01	1960-12-31	Powderhouse	1570-01-01	1960-12-31		Istrian marble		90	88	1570-01-01	1797-05-11	42	1534-01-01	1806-07-27	50.9750232192258	34.8314778282299
SS_BLDG_001	MULTIPOLYGON (((1370165.88212385 5692874.70769408,1370170.75474383 5692884.5087468,1370180.738111 5692879.61365261,1370175.67921034 5692869.75574724,1370165.88212385 5692874.70769408),(1370168.41744304 5692875.58263396,1370174.81050505 5692872.36347141,1370178.03433759 5692878.72753828,1370171.69050862 5692881.92881527,1370168.41744304 5692875.58263396)))	San Secondo	1839	1570-01-01	2019-12-31	Polveriera	Public	1570-01-01	2019-12-31	Military	1570-01-01	1960-12-31	Powderhouse	1570-01-01	1960-12-31		Istrian marble		90	Austrian Empire	1814-04-20	1866-10-20				50.9750232192258	34.8314778282299
SS_BLDG_001	MULTIPOLYGON (((1370165.88212385 5692874.70769408,1370170.75474383 5692884.5087468,1370180.738111 5692879.61365261,1370175.67921034 5692869.75574724,1370165.88212385 5692874.70769408),(1370168.41744304 5692875.58263396,1370174.81050505 5692872.36347141,1370178.03433759 5692878.72753828,1370171.69050862 5692881.92881527,1370168.41744304 5692875.58263396)))	San Secondo	1839	1570-01-01	2019-12-31	Polveriera	Public	1570-01-01	2019-12-31	Military	1570-01-01	1960-12-31	Powderhouse	1570-01-01	1960-12-31		Istrian marble		90	Austrian Empire	1814-04-20	1866-10-20				50.9750232192258	34.8314778282299
SS_BLDG_002	MULTIPOLYGON (((1370176.43402602 5692853.92442382,1370175.07013675 5692851.63567276,1370174.5082663 5692850.63488646,1370172.17472975 5692846.18978526,1370167.18790288 5692836.25579927,1370165.83223103 5692833.50134398,1370161.75719468 5692825.406577,1370152.47176851 5692806.94572391,1370146.55172112 5692794.81892821,1370142.71011038 5692795.71660424,1370143.26271909 5692796.48851448,1370146.26785718 5692795.90108724,1370150.9737593 5692805.60296978,1370151.83479416 5692807.37842515,1370153.70288065 5692811.11184785,1370161.09263388 5692825.88170029,1370166.65401944 5692837.04262368,1370168.92948164 5692841.85564611,1370170.90090187 5692845.33155546,1370169.59859944 5692846.01273167,1370170.17041323 5692847.23836333,1370171.25153096 5692846.67288698,1370173.63244712 5692851.09303323,1370172.5039491 5692851.6834656,1370173.06582526 5692852.68439475,1370174.26610094 5692852.0564284,1370180.28004901 5692862.29378496,1370180.62712136 5692863.17746694,1370182.69953792 5692867.3341201,1370183.5308537 5692866.95708679,1370181.64416456 5692862.66720156,1370181.15932462 5692861.85392031,1370180.15872822 5692860.17478562,1370176.43402602 5692853.92442382)),((1370170.03266023 5692868.4937606,1370169.59917097 5692867.6377894,1370159.65394529 5692872.7126937,1370162.39525564 5692878.1745408,1370165.51562617 5692884.39062606,1370166.28398643 5692883.91920797,1370166.06094544 5692883.49391006,1370163.16359872 5692877.86567496,1370160.65750188 5692872.99731562,1370168.94782491 5692869.03810882,1370170.03266023 5692868.4937606)))	San Secondo	1945	1770-01-01	2019-12-31	Muro di cinta	Public	1770-01-01	2019-12-31	Military	1770-01-01	1960-12-31	Walls	1770-01-01	2019-12-31		Brick		42	86	1866-10-21	2019-12-31				157.253618745244	46.8268003164156
SS_BLDG_002	MULTIPOLYGON (((1370176.43402602 5692853.92442382,1370175.07013675 5692851.63567276,1370174.5082663 5692850.63488646,1370172.17472975 5692846.18978526,1370167.18790288 5692836.25579927,1370165.83223103 5692833.50134398,1370161.75719468 5692825.406577,1370152.47176851 5692806.94572391,1370146.55172112 5692794.81892821,1370142.71011038 5692795.71660424,1370143.26271909 5692796.48851448,1370146.26785718 5692795.90108724,1370150.9737593 5692805.60296978,1370151.83479416 5692807.37842515,1370153.70288065 5692811.11184785,1370161.09263388 5692825.88170029,1370166.65401944 5692837.04262368,1370168.92948164 5692841.85564611,1370170.90090187 5692845.33155546,1370169.59859944 5692846.01273167,1370170.17041323 5692847.23836333,1370171.25153096 5692846.67288698,1370173.63244712 5692851.09303323,1370172.5039491 5692851.6834656,1370173.06582526 5692852.68439475,1370174.26610094 5692852.0564284,1370180.28004901 5692862.29378496,1370180.62712136 5692863.17746694,1370182.69953792 5692867.3341201,1370183.5308537 5692866.95708679,1370181.64416456 5692862.66720156,1370181.15932462 5692861.85392031,1370180.15872822 5692860.17478562,1370176.43402602 5692853.92442382)),((1370170.03266023 5692868.4937606,1370169.59917097 5692867.6377894,1370159.65394529 5692872.7126937,1370162.39525564 5692878.1745408,1370165.51562617 5692884.39062606,1370166.28398643 5692883.91920797,1370166.06094544 5692883.49391006,1370163.16359872 5692877.86567496,1370160.65750188 5692872.99731562,1370168.94782491 5692869.03810882,1370170.03266023 5692868.4937606)))	San Secondo	1982	1770-01-01	2019-12-31	Muro di cinta	Public	1770-01-01	2019-12-31	Abandoned	1961-01-01	2019-12-31	Walls	1770-01-01	2019-12-31		Brick		42	86	1866-10-21	2019-12-31				157.253618745244	46.8268003164156
