AAT ID,NAME,URL,ITA,PARENT,COLLECTION
,Textual source,,Fonte testuale,,source_typologies
,Visual source,,Fonte visiva,,source_typologies
300027483,Account book,http://vocab.getty.edu/aat/300027483,Libro di conti,Textual source,source_typologies
300027628,Agreement,http://vocab.getty.edu/aat/300027628,Accordo,Textual source,source_typologies
300034787,Architectural drawing,http://vocab.getty.edu/aat/300034787,Disegno d'architettura,Visual source,source_typologies
300068713,Building costs,http://vocab.getty.edu/aat/300068713,Conto di fabbrica,Textual source,source_typologies
300027834,Building permit,http://vocab.getty.edu/aat/300027834,Permesso di costruire,Textual source,source_typologies
,Book of island,,Isolario,"Textual source,Visual source",source_typologies
300026832,Census,http://vocab.getty.edu/aat/300026832,Censimento,Textual source,source_typologies
300026361,Chronicle,http://vocab.getty.edu/aat/300026361,Cronaca,Textual source,source_typologies
,Concession,,Concessione/grazia,Textual source,source_typologies
300027649,Contract,http://vocab.getty.edu/aat/300027649,Contratto,Textual source,source_typologies
300027521,Credit record,http://vocab.getty.edu/aat/300027521,Registro di conto,Textual source,source_typologies
300027245,Deed register,http://vocab.getty.edu/aat/300027245,Catastico,"Textual source,Visual source",source_typologies
,Deliberation,,Delibera,Textual source,source_typologies
300033973,Drawing,http://vocab.getty.edu/aat/300033973,Disegno,Visual source,source_typologies
300417774,Drawing book,http://vocab.getty.edu/aat/300417774,Libro di disegni,Visual source,source_typologies
300026727,Estimate,http://vocab.getty.edu/aat/300026727,Stima,Textual source,source_typologies
300055680,Fees,http://vocab.getty.edu/aat/300055680,Multa,Textual source,source_typologies
300027045,Inventory,http://vocab.getty.edu/aat/300027045,Inventario,Textual source,source_typologies
300026879,Letter,http://vocab.getty.edu/aat/300026879,Lettera,Textual source,source_typologies
300027759,License,http://vocab.getty.edu/aat/300027759,Patente,Textual source,source_typologies
300027755,Loan agreement (lease),http://vocab.getty.edu/aat/300027755,Livello,Textual source,source_typologies
,Mariegola,,Mariegola,Textual source,source_typologies
300027249,Notary deed,http://vocab.getty.edu/aat/300027249,Atto notarile,Textual source,source_typologies
300033618,Painting,http://vocab.getty.edu/aat/300033618,Dipinto,Visual source,source_typologies
300027219,Petition,http://vocab.getty.edu/aat/300027219,Supplica,Textual source,source_typologies
300046300,Photograph,http://vocab.getty.edu/aat/300046300,Fotografia,Visual source,source_typologies
300041273,Print,http://vocab.getty.edu/aat/300041273,Stampa,Visual source,source_typologies
300048788,Project,http://vocab.getty.edu/aat/300048788,Progetto,Visual source,source_typologies
300027638,Rental contract,http://vocab.getty.edu/aat/300027638,Contratto economico,Textual source,source_typologies
,Report,,Denuncia,Textual source,source_typologies
300226986,Survey,http://vocab.getty.edu/aat/300226986,Rilievo,Visual source,source_typologies
300027371,Tax record,http://vocab.getty.edu/aat/300027371,Condizione di decima,Textual source,source_typologies
300027323,Technical report,http://vocab.getty.edu/aat/300027323,Perizia,"Textual source,Visual source",source_typologies
300027861,Testimony,http://vocab.getty.edu/aat/300027861,Deposizione,Textual source,source_typologies
300069665,Trial,http://vocab.getty.edu/aat/300069665,Processo,Textual source,source_typologies
300027764,Will,http://vocab.getty.edu/aat/300027764,Testamento,Textual source,source_typologies
